 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-20B13:33: 0.000   -132018713.544156    -68184438.257584    -29522226.225132        25.048952643       -23.040756525        -9.233910835        1
2023-04-20B13:33:30.000   -132017962.748302    -68185125.873516    -29522501.333341        25.001864793       -22.800783174        -9.106974677        1
2023-04-20B13:34: 0.000   -132017213.562001    -68185806.336810    -29522772.669945        24.941759855       -22.564071976        -8.982607858        1
2023-04-20B13:34:30.000   -132016466.368252    -68186479.760955    -29523040.320049        24.869178618       -22.331699418        -8.861361147        1
2023-04-20B13:35: 0.000   -132015721.530112    -68187146.291844    -29523304.386833        24.784792068       -22.104660153        -8.743732612        1
2023-04-20B13:35:30.000   -132014979.390350    -68187806.103836    -29523564.985667        24.689383496       -21.883851749        -8.630160215        1
2023-04-20B13:36: 0.000   -132014240.267969    -68188459.394100    -29523822.241835        24.583827231       -21.670061579        -8.521016601        1
2023-04-20B13:36:30.000   -132013504.453064    -68189106.383245    -29524076.293101        24.469063301       -21.463957116        -8.416605612        1
2023-04-20B13:37: 0.000   -132012772.206690    -68189747.312680    -29524327.286950        24.346074136       -21.266082303        -8.317161308        1
2023-04-20B13:37:30.000   -132012043.760970    -68190382.435757    -29524575.374737        24.215863623       -21.076858356        -8.222849603        1
2023-04-20B13:38: 0.000   -132011319.317178    -68191012.014773    -29524820.710894        24.079435841       -20.896587315        -8.133771744        1
2023-04-20B13:38:30.000   -132010599.046777    -68191636.321803    -29525063.453495        23.937776254       -20.725458391        -8.049968979        1
2023-04-20B13:39: 0.000   -132009883.093037    -68192255.633930    -29525303.761353        23.791836799       -20.563556510        -7.971428090        1
2023-04-20B13:39:30.000   -132009171.570625    -68192870.227697    -29525541.791313        23.642523123       -20.410872587        -7.898087769        1
2023-04-20B13:40: 0.000   -132008464.567211    -68193480.377870    -29525777.697725        23.490684583       -20.267315223        -7.829845562        1
2023-04-20B13:40:30.000   -132007762.146715    -68194086.356189    -29526011.631656        23.337107803       -20.132722683        -7.766564770        1
2023-04-20B13:41: 0.000   -132007064.350708    -68194688.428601    -29526243.739573        23.182512623       -20.006874415        -7.708080991        1
2023-04-20B13:41:30.000   -132006371.199669    -68195286.853444    -29526474.162618        23.027550014       -19.889502177        -7.654208293        1
2023-04-20B13:42: 0.000   -132005682.695598    -68195881.880464    -29526703.036154        22.872802100       -19.780300538        -7.604744900        1
2023-04-20B13:42:30.000   -132004998.824240    -68196473.749850    -29526930.489295        22.718783699       -19.678936374        -7.559478240        1
2023-04-20B13:43: 0.000   -132004319.556773    -68197062.691494    -29527156.644641        22.565944959       -19.585057293        -7.518189356        1
2023-04-20B13:43:30.000   -132003644.851799    -68197648.924503    -29527381.618207        22.414674942       -19.498299010        -7.480656677        1
2023-04-20B13:44: 0.000   -132002974.657213    -68198232.656949    -29527605.519381        22.265305769       -19.418291653        -7.446659164        1
2023-04-20B13:44:30.000   -132002308.911667    -68198814.085808    -29527828.450937        22.118117049       -19.344665024        -7.415978890        1
2023-04-20B13:45: 0.000   -132001647.546088    -68199393.396993    -29528050.509166        21.973340507       -19.277052925        -7.388403100        1
2023-04-20B13:45:30.000   -132000990.485195    -68199970.765533    -29528271.784098        21.831164668       -19.215096623        -7.363725792        1
2023-04-20B13:46: 0.000   -132000337.648669    -68200546.355854    -29528492.359708        21.691739392       -19.158447560        -7.341748901        1
2023-04-20B13:46:30.000   -131999688.952170    -68201120.322098    -29528712.314145        21.555180201       -19.106769394        -7.322283130        1
2023-04-20B13:47: 0.000   -131999044.308345    -68201692.808502    -29528931.720009        21.421572364       -19.059739482        -7.305148499        1
2023-04-20B13:47:30.000   -131998403.627716    -68202263.949859    -29529150.644656        21.290974709       -19.017049867        -7.290174642        1
2023-04-20B13:48: 0.000   -131997766.819393    -68202833.871959    -29529369.150483        21.163423112       -18.978407877        -7.277200907        1
2023-04-20B13:48:30.000   -131997133.791702    -68203402.692035    -29529587.295201        21.038933674       -18.943536398        -7.266076309        1
2023-04-20B13:49: 0.000   -131996504.452754    -68203970.519231    -29529805.132136        20.917505593       -18.912173888        -7.256659352        1
2023-04-20B13:49:30.000   -131995878.710901    -68204537.455089    -29530022.710512        20.799123729       -18.884074181        -7.248817765        1
2023-04-20B13:50: 0.000   -131995256.475137    -68205103.593992    -29530240.075718        20.683760893       -18.859006132        -7.242428165        1
2023-04-20B13:50:30.000   -131994637.655427    -68205669.023604    -29530457.269570        20.571379864       -18.836753146        -7.237375673        1
2023-04-20B13:51: 0.000   -131994022.162979    -68206233.825302    -29530674.330559        20.461935170       -18.817112618        -7.233553501        1
2023-04-20B13:51:30.000   -131993409.910473    -68206798.074589    -29530891.294090        20.355374640       -18.799895316        -7.230862519        1
2023-04-20B13:52: 0.000   -131992800.812233    -68207361.841484    -29531108.192701        20.251640760       -18.784924727        -7.229210816        1
2023-04-20B13:52:30.000   -131992194.784377    -68207925.190891    -29531325.056278        20.150671845       -18.772036380        -7.228513261        1
2023-04-20B13:53: 0.000   -131991591.744921    -68208488.182954    -29531541.912248        20.052403046       -18.761077168        -7.228691070        1
