 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B13:33: 0.000         5723.228149        -1152.450442        -3043.823526         2.993573097         9.989435212         1.151392061        1
2023-04-20B13:33:30.000         5810.096468         -852.301170        -3007.374570         2.797327710        10.018494417         1.278194990        1
2023-04-20B13:34: 0.000         5891.053052         -551.458958        -2967.158450         2.599626487        10.035679985         1.402399255        1
2023-04-20B13:34:30.000         5966.069868         -250.278482        -2923.261133         2.401559571        10.041116733         1.523455264        1
2023-04-20B13:35: 0.000         6035.153073           50.892568        -2875.786621         2.204190188        10.035067874         1.640866425        1
2023-04-20B13:35:30.000         6098.339543          351.714856        -2824.851056         2.008535564        10.017924559         1.754196507        1
2023-04-20B13:36: 0.000         6155.693008          651.862367        -2770.580447         1.815548701         9.990191765         1.863074801        1
2023-04-20B13:36:30.000         6207.306698          951.026639        -2713.113215         1.626101554         9.952468936         1.967199554        1
2023-04-20B13:37: 0.000         6253.301135         1248.917531        -2652.597439         1.440974092         9.905430830         2.066338896        1
2023-04-20B13:37:30.000         6293.816091         1545.266132        -2589.185002         1.260848258         9.849809444         2.160329151        1
2023-04-20B13:38: 0.000         6329.008779         1839.827444        -2523.030799         1.086304076         9.786374261         2.249071318        1
2023-04-20B13:38:30.000         6359.054490         2132.378903        -2454.293295         0.917818720         9.715913568         2.332526355        1
2023-04-20B13:39: 0.000         6384.141822         2422.720493        -2383.131634         0.755768957         9.639218948         2.410709613        1
2023-04-20B13:39:30.000         6404.467970         2710.677097        -2309.702929         0.600435968         9.557071066         2.483684435        1
2023-04-20B13:40: 0.000         6420.237243         2996.097390        -2234.161733         0.452012099         9.470227142         2.551555184        1
2023-04-20B13:40:30.000         6431.658920         3278.851240        -2156.659266         0.310608970         9.379411558         2.614460330        1
2023-04-20B13:41: 0.000         6438.944398         3558.829444        -2077.342099         0.176266142         9.285308791         2.672565898        1
2023-04-20B13:41:30.000         6442.305265         3835.943245        -1996.351425         0.048960064         9.188558115         2.726059290        1
2023-04-20B13:42: 0.000         6441.951599         4110.122317        -1913.822622        -0.071386899         9.089750350         2.775143598        1
2023-04-20B13:42:30.000         6438.090411         4381.313113        -1829.884777        -0.184897783         8.989426269         2.820032562        1
2023-04-20B13:43: 0.000         6430.924487         4649.477644        -1744.660435        -0.291732892         8.888076296         2.860946159        1
2023-04-20B13:43:30.000         6420.651321         4914.591891        -1658.265523        -0.392082271         8.786141355         2.898106847        1
2023-04-20B13:44: 0.000         6407.462301         5176.644256        -1570.809321        -0.486158930         8.684014558         2.931736420        1
2023-04-20B13:44:30.000         6391.542200         5435.634307        -1482.394470        -0.574192864         8.582043444         2.962053446        1
2023-04-20B13:45: 0.000         6373.068726         5691.571451        -1393.117113        -0.656425828         8.480532709         2.989271211        1
2023-04-20B13:45:30.000         6352.212173         5944.473559        -1303.067114        -0.733106842         8.379747234         3.013596153        1
2023-04-20B13:46: 0.000         6329.135311         6194.365856        -1212.328276        -0.804488390         8.279915230         3.035226683        1
2023-04-20B13:46:30.000         6303.993336         6441.279956        -1120.978562        -0.870823263         8.181231390         3.054352369        1
2023-04-20B13:47: 0.000         6276.933876         6685.252864        -1029.090381        -0.932361972         8.083860021         3.071153392        1
2023-04-20B13:47:30.000         6248.097109         6926.326067         -936.730893        -0.989350679         7.987938073         3.085800261        1
2023-04-20B13:48: 0.000         6217.615924         7164.544782         -843.962292        -1.042029560         7.893578011         3.098453716        1
2023-04-20B13:48:30.000         6185.616102         7399.957281         -750.842091        -1.090631560         7.800870517         3.109264789        1
2023-04-20B13:49: 0.000         6152.216549         7632.614260         -657.423411        -1.135381466         7.709886997         3.118374981        1
2023-04-20B13:49:30.000         6117.529567         7862.568293         -563.755273        -1.176495261         7.620681885         3.125916537        1
2023-04-20B13:50: 0.000         6081.661118         8089.873360         -469.882867        -1.214179705         7.533294752         3.132012788        1
2023-04-20B13:50:30.000         6044.711099         8314.584430         -375.847807        -1.248632107         7.447752217         3.136778535        1
2023-04-20B13:51: 0.000         6006.773628         8536.757098         -281.688389        -1.280040246         7.364069672         3.140320470        1
