 本行信息时间(北京时间)     位置X(km,J2000)     位置Y(km,J2000)     位置Z(km,J2000)  速度VX(km/s,J2000)  速度VY(km/s,J2000)  速度VZ(km/s,J2000)    定轨或预报
2023-04-20B13:33: 0.000          968.900717        -5756.091480        -3045.814573        10.820948592         0.857462973         1.127071563        1
2023-04-20B13:33:30.000         1292.854136        -5726.762031        -3010.093832        10.773706493         1.097355996         1.253972907        1
2023-04-20B13:34: 0.000         1615.193374        -5690.282355        -2970.602531        10.713447307         1.333986865         1.378304912        1
2023-04-20B13:34:30.000         1935.535433        -5646.765939        -2927.425773        10.640711823         1.566279093         1.499516807        1
2023-04-20B13:35: 0.000         2253.517255        -5596.358679        -2880.666742        10.556171025         1.793238026         1.617110527        1
2023-04-20B13:35:30.000         2568.796072        -5539.234930        -2830.440803        10.460608207         2.013966098         1.730648108        1
2023-04-20B13:36: 0.000         2881.052881        -5475.591864        -2776.873244        10.354897697         2.227675936         1.839756905        1
2023-04-20B13:36:30.000         3189.997586        -5405.650089        -2720.101827        10.239979522         2.433700065         1.944133077        1
2023-04-20B13:37: 0.000         3495.369133        -5329.651013        -2660.274038        10.116836112         2.631494544         2.043542564        1
2023-04-20B13:37:30.000         3796.935399        -5247.847989        -2597.541230         9.986471355         2.820638155         2.137819452        1
2023-04-20B13:38: 0.000         4094.495109        -5160.503315        -2532.057839         9.849889329         3.000828859         2.226862493        1
2023-04-20B13:38:30.000         4387.876801        -5067.889065        -2463.981935         9.708075500         3.171877446         2.310630440        1
2023-04-20B13:39: 0.000         4676.937204        -4970.282322        -2393.472332         9.561981802         3.333698989         2.389136510        1
2023-04-20B13:39:30.000         4961.561653        -4867.959629        -2320.685877         9.412513884         3.486302573         2.462442012        1
2023-04-20B13:40: 0.000         5241.662477        -4761.195752        -2245.776917         9.260521104         3.629779597         2.530649400        1
2023-04-20B13:40:30.000         5517.175755        -4650.262432        -2168.896521         9.106790083         3.764291797         2.593895372        1
2023-04-20B13:41: 0.000         5788.059916        -4535.425614        -2090.191157         8.952040663         3.890059723         2.652344331        1
2023-04-20B13:41:30.000         6054.294482        -4416.943638        -2009.801964         8.796923815         4.007351619         2.706182208        1
2023-04-20B13:42: 0.000         6315.877454        -4295.066249        -1927.864308         8.642021662         4.116472914         2.755610780        1
2023-04-20B13:42:30.000         6572.823085        -4170.033638        -1844.507301         8.487849023         4.217756734         2.800842619        1
2023-04-20B13:43: 0.000         6825.160199        -4042.075693        -1759.853544         8.334856046         4.311555470         2.842096681        1
2023-04-20B13:43:30.000         7072.930191        -3911.411524        -1674.019051         8.183431792         4.398233407         2.879594538        1
2023-04-20B13:44: 0.000         7316.185169        -3778.249203        -1587.113210         8.033908383         4.478160417         2.913557228        1
2023-04-20B13:44:30.000         7554.986481        -3642.785705        -1499.238797         7.886565427         4.551706698         2.944202679        1
2023-04-20B13:45: 0.000         7789.403197        -3505.206944        -1410.492102         7.741634650         4.619238449         2.971743646        1
2023-04-20B13:45:30.000         8019.510601        -3365.687948        -1320.963153         7.599304576         4.681114401         2.996386130        1
2023-04-20B13:46: 0.000         8245.389010        -3224.393143        -1230.735928         7.459725067         4.737683114         3.018328197        1
2023-04-20B13:46:30.000         8467.122766        -3081.476672        -1139.888574         7.323011642         4.789280928         3.037759144        1
2023-04-20B13:47: 0.000         8684.799221        -2937.082772        -1048.493693         7.189249572         4.836230488         3.054858949        1
2023-04-20B13:47:30.000         8898.507853        -2791.346235         -956.618639         7.058497685         4.878839750         3.069797981        1
2023-04-20B13:48: 0.000         9108.339552        -2644.392852         -864.325809         6.930791857         4.917401386         3.082736891        1
2023-04-20B13:48:30.000         9314.385992        -2496.339855         -771.672915         6.806148188         4.952192510         3.093826663        1
2023-04-20B13:49: 0.000         9516.739062        -2347.296390         -678.713284         6.684565877         4.983474664         3.103208793        1
2023-04-20B13:49:30.000         9715.490410        -2197.363997         -585.496138         6.566029783         5.011494015         3.111015553        1
2023-04-20B13:50: 0.000         9910.731042        -2046.637059         -492.066867         6.450512718         5.036481707         3.117370326        1
2023-04-20B13:50:30.000        10102.550994        -1895.203241         -398.467287         6.337977460         5.058654335         3.122387990        1
2023-04-20B13:51: 0.000        10291.039055        -1743.143920         -304.735888         6.228378538         5.078214503         3.126175334        1
2023-04-20B13:51:30.000        10476.282550        -1590.534599         -210.908076         6.121663781         5.095351445         3.128831488        1
2023-04-20B13:52: 0.000        10658.367151        -1437.445296         -117.016390         6.017775675         5.110241673         3.130448362        1
2023-04-20B13:52:30.000        10837.376741        -1283.940917          -23.090714         5.916652533         5.123049659         3.131111088        1
2023-04-20B13:53: 0.000        11013.393304        -1130.081604           70.841524         5.818229508         5.133928507         3.130898449        1
2023-04-20B13:53:30.000        11186.496842         -975.923070          164.755170         5.722439459         5.143020636         3.129883300        1
2023-04-20B13:54: 0.000        11356.765315         -821.516907          258.627172         5.629213691         5.150458431         3.128132971        1
2023-04-20B13:54:30.000        11524.274610         -666.910875          352.436420         5.538482584         5.156364891         3.125709652        1
2023-04-20B13:55: 0.000        11689.098516         -512.149181          446.163597         5.450176124         5.160854242         3.122670764        1
2023-04-20B13:55:30.000        11851.308724         -357.272729          539.791041         5.364224350         5.164032527         3.119069301        1
2023-04-20B13:56: 0.000        12010.974829         -202.319354          633.302619         5.280557724         5.165998164         3.114954161        1
2023-04-20B13:56:30.000        12168.164350          -47.324050          726.683606         5.199107437         5.166842480         3.110370449        1
2023-04-20B13:57: 0.000        12322.942759          107.680831          819.920578         5.119805662         5.166650209         3.105359765        1
2023-04-20B13:57:30.000        12475.373508          262.665385          913.001307         5.042585757         5.165499959         3.099960467        1
2023-04-20B13:58: 0.000        12625.518070          417.601980         1005.914674         4.967382424         5.163464654         3.094207926        1
2023-04-20B13:58:30.000        12773.435981          572.465092         1098.650577         4.894131841         5.160611945         3.088134749        1
2023-04-20B13:59: 0.000        12919.184885          727.231152         1191.199854         4.822771753         5.157004593         3.081770998        1
2023-04-20B13:59:30.000        13062.820584          881.878405         1283.554209         4.753241546         5.152700826         3.075144384        1
2023-04-20B14:00: 0.000        13204.397087         1036.386779         1375.706145         4.685482293         5.147754671         3.068280454        1
2023-04-20B14:00:30.000        13343.966659         1190.737763         1467.648899         4.619436790         5.142216264         3.061202753        1
2023-04-20B14:01: 0.000        13481.579876         1344.914298         1559.376390         4.555049566         5.136132134         3.053932988        1
2023-04-20B14:01:30.000        13617.285678         1498.900667         1650.883158         4.492266887         5.129545469         3.046491165        1
2023-04-20B14:02: 0.000        13751.131414         1652.682403         1742.164324         4.431036752         5.122496363         3.038895726        1
2023-04-20B14:02:30.000        13883.162905         1806.246198         1833.215536         4.371308869         5.115022043         3.031163667        1
2023-04-20B14:03: 0.000        14013.424483         1959.579820         1924.032935         4.313034637         5.107157079         3.023310656        1
2023-04-20B14:03:30.000        14141.959049         2112.672038         2014.613111         4.256167111         5.098933579         3.015351130        1
2023-04-20B14:04: 0.000        14268.808123         2265.512548         2104.953071         4.200660974         5.090381372         3.007298395        1
2023-04-20B14:04:30.000        14394.011884         2418.091911         2195.050205         4.146472494         5.081528170         2.999164715        1
2023-04-20B14:05: 0.000        14517.609226         2570.401487         2284.902258         4.093559483         5.072399726         2.990961386        1
2023-04-20B14:05:30.000        14639.637800         2722.433382         2374.507296         4.041881259         5.063019975         2.982698818        1
2023-04-20B14:06: 0.000        14760.134057         2874.180395         2463.863690         3.991398598         5.053411166         2.974386598        1
2023-04-20B14:06:30.000        14879.133293         3025.635969         2552.970084         3.942073689         5.043593983         2.966033558        1
2023-04-20B14:07: 0.000        14996.669691         3176.794143         2641.825377         3.893870091         5.033587659         2.957647829        1
2023-04-20B14:07:30.000        15112.776360         3327.649516         2730.428702         3.846752686         5.023410081         2.949236895        1
2023-04-20B14:08: 0.000        15227.485375         3478.197202         2818.779408         3.800687634         5.013077883         2.940807646        1
2023-04-20B14:08:30.000        15340.827815         3628.432798         2906.877041         3.755642328         5.002606539         2.932366417        1
2023-04-20B14:09: 0.000        15452.833798         3778.352347         2994.721332         3.711585349         4.992010441         2.923919036        1
2023-04-20B14:09:30.000        15563.532516         3927.952311         3082.312176         3.668486427         4.981302980         2.915470861        1
2023-04-20B14:10: 0.000        15672.952272         4077.229537         3169.649625         3.626316391         4.970496614         2.907026811        1
2023-04-20B14:10:30.000        15781.120507         4226.181235         3256.733871         3.585047135         4.959602935         2.898591407        1
2023-04-20B14:11: 0.000        15888.063837         4374.804948         3343.565237         3.544651574         4.948632727         2.890168793        1
2023-04-20B14:11:30.000        15993.808077         4523.098534         3430.144165         3.505103604         4.937596025         2.881762773        1
2023-04-20B14:12: 0.000        16098.378277         4671.060139         3516.471204         3.466378068         4.926502164         2.873376828        1
2023-04-20B14:12:30.000        16201.798743         4818.688179         3602.547007         3.428450715         4.915359831         2.865014148        1
2023-04-20B14:13: 0.000        16304.093068         4965.981325         3688.372315         3.391298168         4.904177107         2.856677648        1
2023-04-20B14:13:30.000        16405.284155         5112.938477         3773.947954         3.354897886         4.892961508         2.848369991        1
2023-04-20B14:14: 0.000        16505.394246         5259.558756         3859.274827         3.319228137         4.881720026         2.840093606        1
2023-04-20B14:14:30.000        16604.444939         5405.841485         3944.353906         3.284267958         4.870459163         2.831850704        1
2023-04-20B14:15: 0.000        16702.457217         5551.786173         4029.186225         3.249997133         4.859184964         2.823643298        1
2023-04-20B14:15:30.000        16799.451465         5697.392506         4113.772877         3.216396156         4.847903049         2.815473215        1
2023-04-20B14:16: 0.000        16895.447496         5842.660331         4198.115007         3.183446210         4.836618642         2.807342107        1
2023-04-20B14:16:30.000        16990.464566         5987.589648         4282.213808         3.151129133         4.825336593         2.799251471        1
2023-04-20B14:17: 0.000        17084.521397         6132.180595         4366.070514         3.119427397         4.814061410         2.791202653        1
2023-04-20B14:17:30.000        17177.636194         6276.433443         4449.686398         3.088324079         4.802797276         2.783196864        1
2023-04-20B14:18: 0.000        17269.826663         6420.348581         4533.062767         3.057802841         4.791548075         2.775235189        1
2023-04-20B14:18:30.000        17361.110028         6563.926513         4616.200960         3.027847904         4.780317407         2.767318594        1
2023-04-20B14:19: 0.000        17451.503048         6707.167845         4699.102342         2.998444029         4.769108611         2.759447937        1
2023-04-20B14:19:30.000        17541.022032         6850.073279         4781.768303         2.969576490         4.757924780         2.751623977        1
2023-04-20B14:20: 0.000        17629.682858         6992.643610         4864.200254         2.941231060         4.746768777         2.743847378        1
2023-04-20B14:20:30.000        17717.500980         7134.879711         4946.399625         2.913393990         4.735643252         2.736118718        1
2023-04-20B14:21: 0.000        17804.491448         7276.782534         5028.367862         2.886051989         4.724550652         2.728438495        1
2023-04-20B14:21:30.000        17890.668921         7418.353102         5110.106423         2.859192204         4.713493241         2.720807136        1
2023-04-20B14:22: 0.000        17976.047678         7559.592501         5191.616782         2.832802210         4.702473103         2.713224995        1
2023-04-20B14:22:30.000        18060.641631         7700.501880         5272.900418         2.806869987         4.691492160         2.705692366        1
2023-04-20B14:23: 0.000        18144.464338         7841.082441         5353.958821         2.781383907         4.680552183         2.698209485        1
2023-04-20B14:23:30.000        18227.529014         7981.335437         5434.793487         2.756332718         4.669654796         2.690776530        1
2023-04-20B14:24: 0.000        18309.848541         8121.262169         5515.405914         2.731705532         4.658801491         2.683393633        1
2023-04-20B14:24:30.000        18391.435481         8260.863981         5595.797606         2.707491808         4.647993634         2.676060879        1
2023-04-20B14:25: 0.000        18472.302082         8400.142254         5675.970068         2.683681341         4.637232474         2.668778309        1
2023-04-20B14:25:30.000        18552.460295         8539.098408         5755.924807         2.660264250         4.626519149         2.661545926        1
2023-04-20B14:26: 0.000        18631.921775         8677.733892         5835.663326         2.637230962         4.615854697         2.654363696        1
2023-04-20B14:26:30.000        18710.697898         8816.050188         5915.187129         2.614572205         4.605240056         2.647231553        1
2023-04-20B14:27: 0.000        18788.799763         8954.048802         5994.497719         2.592278994         4.594676076         2.640149397        1
2023-04-20B14:27:30.000        18866.238206         9091.731267         6073.596592         2.570342623         4.584163524         2.633117104        1
2023-04-20B14:28: 0.000        18943.023804         9229.099135         6152.485242         2.548754652         4.573703085         2.626134521        1
2023-04-20B14:28:30.000        19019.166887         9366.153979         6231.165158         2.527506897         4.563295374         2.619201471        1
2023-04-20B14:29: 0.000        19094.677541         9502.897390         6309.637824         2.506591423         4.552940934         2.612317758        1
2023-04-20B14:29:30.000        19169.565618         9639.330973         6387.904715         2.486000536         4.542640245         2.605483164        1
2023-04-20B14:30: 0.000        19243.840744         9775.456346         6465.967302         2.465726770         4.532393726         2.598697451        1
2023-04-20B14:30:30.000        19317.512323         9911.275142         6543.827048         2.445762881         4.522201739         2.591960367        1
2023-04-20B14:31: 0.000        19390.589545        10046.788999         6621.485408         2.426101840         4.512064595         2.585271645        1
2023-04-20B14:31:30.000        19463.081394        10181.999568         6698.943828         2.406736825         4.501982555         2.578631001        1
2023-04-20B14:32: 0.000        19534.996649        10316.908506         6776.203746         2.387661212         4.491955831         2.572038141        1
2023-04-20B14:32:30.000        19606.343896        10451.517473         6853.266591         2.368868571         4.481984597         2.565492760        1
2023-04-20B14:33: 0.000        19677.131530        10585.828138         6930.133783         2.350352655         4.472068982         2.558994540        1
2023-04-20B14:33:30.000        19747.367762        10719.842169         7006.806732         2.332107399         4.462209079         2.552543156        1
