"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"Default",0,"AgStkInitObj.cpp",2226,12/06/2025 22:24:18,"LAPTOP-7G9OBF8V","yyj","STK Radar Advanced Environment license is present, but a valid install was not found."
3,"MsgWnd",0,"",0,12/06/2025 22:24:44,"LAPTOP-7G9OBF8V","yyj","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1332,12/06/2025 22:24:45,"LAPTOP-7G9OBF8V","yyj","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1512,12/06/2025 22:24:45,"LAPTOP-7G9OBF8V","yyj","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,12/06/2025 22:24:48,"LAPTOP-7G9OBF8V","yyj","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""E:\STK12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,12/06/2025 22:24:48,"LAPTOP-7G9OBF8V","yyj","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",1004,12/06/2025 22:25:18,"LAPTOP-7G9OBF8V","yyj","STK TIREM license present; but a valid TIREM install was not found. Install STK/TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",923,12/06/2025 22:25:18,"LAPTOP-7G9OBF8V","yyj","STK Communications License for Urban Propagation Extension present; but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",-1,"AgUtModLicCPP.cpp",186,12/06/2025 22:25:19,"LAPTOP-7G9OBF8V","yyj","Connectivity issues exist with Microsoft Bing™ Maps. Bing Maps have been disabled."
4,"MsgWnd",0,"",0,12/06/2025 22:31:43,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:32:43,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:32:45,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:33:16,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:33:45,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:33:48,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:33:50,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:34:37,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:36:13,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:36:32,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:36:38,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:37:41,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:37:54,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:39:55,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:40:23,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
4,"MsgWnd",0,"",0,12/06/2025 22:40:32,"LAPTOP-7G9OBF8V","yyj","The profile Differential_Corrector must have at least one active control parameter and one active equality constraint."
